PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,lon,lat
78,SICILIA,03/C067/PA/19,Palermo,Castelbuono,Sempria,"37° 54' 9,66''","14° 4' 8,61''",1180.0,no,Quercus congesta C. Presl,Quercia congesta,530.0,20.0,"a) eta` e/o dimensioni
c) valore ecologico",no,14.069058,37.902683
79,SICILIA,04/C067/PA/19,Palermo,Castelbuono,Chianu Du Trippaturi,"37° 54' 38,8''","14° 3' 28,9''",1263.0,no,Quercus dalechampii Ten.,Quercia di Dalechamps,475.0,13.0,"a) eta` e/o dimensioni
c) valore ecologico",no,14.058028,37.910778
80,SICILIA,01/C968/PA/19,Palermo,Contessa Entellina,Abbazia Santa Maria del Bosco,"37° 42' 41,17''","13° 12' 18,88''",836.0,no,Populus nigra L.,Pioppo nero,600.0,20.0,"a) età e/o dimensioni
c) valore ecologico",no,13.205244,37.711436
81,SICILIA,01/G263/PA/19,Palermo,Palazzo Adriano,Vanelle - Strada Statale N. 132,"37° 41' 6,24''","13° 23' 1,45''",650.0,no,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,600.0,30.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",no,13.383736,37.685067
82,SICILIA,02/G263/PA/19,Palermo,Palazzo Adriano,Muffoletto,"37° 42' 3,62''","13° 22' 20,07''",680.0,no,Olea europaea L.,Olivo,350-440,4.0,"a) età e/o dimensioni
c) valore ecologico",no,13.372242,37.701006
83,SICILIA,03/G263/PA/19,Palermo,Palazzo Adriano,Muffoletto,"37° 42' 2,67''","13° 22' 20,28''",680.0,no,Olea europaea L.,Olivo,400.0,4.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico",no,13.372300,37.700742
84,SICILIA,04/G263/PA/19,Palermo,Palazzo Adriano,Pullicia di Sopra,"37° 34' 27,03''","13° 22' 53,67''",500.0,no,Olea europaea L.,Olivo,800.0,6.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico",no,13.381575,37.574175
85,SICILIA,05/G263/PA/19,Palermo,Palazzo Adriano,Bosco di Rifesi - Santuario,"37° 36' 32,91''","13° 20' 35,89''",809.0,no,Prunus dulcis (Mill.) D.A. Webb,Mandorlo,270.0,12.0,a) età e/o dimensioni,no,13.343303,37.609142
86,SICILIA,07/G263/PA/19,Palermo,Palazzo Adriano,Bosco Rifesi - Santuario,"37° 36' 28,59''","13° 20' 34,7''",829.0,no,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,600.0,13.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",no,13.342972,37.607942
87,SICILIA,08/G263/PA/19,Palermo,Palazzo Adriano,Bosco Rifesi - Santuario,"37° 36' 28,31''","13° 20' 35,11''",819.0,no,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,550.0,18.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica
g) valore storico, culturale, religioso",no,13.343086,37.607864
88,SICILIA,09/G263/PA/19,Palermo,Palazzo Adriano,Fiume Grande,"37° 41' 30,77''","13° 22' 03,58''",500.0,no,Populus nigra L.,Pioppo nero,650.0,20.0,"a) età e/o dimensioni
c) valore ecologico",no,13.367661,37.691881
89,SICILIA,01/G273/PA/19,Palermo,Palermo,Via Notarbartolo 23,"38° 7' 58,02''","13° 20' 44,44''",25.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,291.0,14.5,"g) valore storico, culturale, religioso",no,13.345678,38.132783
90,SICILIA,02/G273/PA/19,Palermo,Palermo,Pallavicino - Via Cesenatico,"38° 10' 12,45''","13° 20' 07,09''",60.0,no,Olea europaea L.,Olivo,818.0,10.5,"a) età e/o dimensioni
c) valore ecologico",sì,13.335303,38.170125
91,SICILIA,03/G273/PA/19,Palermo,Palermo,Villa Garibaldi - Piazza Marina,"38° 07' 03,14''","13° 22' 10,39''",7.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,3600.0,21.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica
e) architettura vegetale
g) valore storico, culturale, religioso",sì,13.369553,38.117539
92,SICILIA,04/G273/PA/19,Palermo,Palermo,Santuario di Santa Maria di Gesù,"38° 04' 58,84''","13° 22' 46,08''",190.0,sì,Cupressus sempervirens L.,Cipresso comune,350.0,23.0,"a) età e/o dimensioni
g) valore storico, culturale, religioso",no,13.379467,38.083011
93,SICILIA,05/G273/PA/19,Palermo,Palermo,Via Piano dell'Ucciardone,"38° 07' 56,48''","13° 21' 34,71''",3.0,sì,Platanus acerifolia (Aiton) Willd.,Platano comune,420.0,28.0,"a) età e/o dimensioni
b) forma e portamento",no,13.359642,38.132356
94,SICILIA,06/G273/PA/19,Palermo,Palermo,Villa Trabia alle Terre Rosse,"38° 7' 46,05''","13° 20' 49,03''",24.0,sì,Araucaria bidwillii Hook.,Pino del Queensland,222.0,23.0,d) rarità botanica,no,13.346953,38.129458
95,SICILIA,07/G273/PA/19,Palermo,Palermo,Villa Trabia alle Terre Rosse,"38° 07' 47,49''","13° 20' 55,11''",17.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,480.0,20.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",no,13.348642,38.129858
96,SICILIA,08/G273/PA/19,Palermo,Palermo,Villa Trabia alle Terre Rosse,"38° 07' 46,27''","13° 20' 47,38''",25.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,680.0,20.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",no,13.346494,38.129519
97,SICILIA,09/G273/PA/19,Palermo,Palermo,Villa Malfitano Whitaker,38° 07' 27'',13° 20' 31'',39.0,sì,Dracaena draco L.,Albero del drago,590.0,12.0,"a) età e/o dimensioni
d) rarità botanica",no,13.341944,38.124167
98,SICILIA,10/G273/PA/19,Palermo,Palermo,Villa Malfitano Whitaker,"38° 07' 22,29''","13° 20' 29,23''",38.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,2100.0,16.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica
e) architettura vegetale",no,13.341453,38.122858
99,SICILIA,11/G273/PA/19,Palermo,Palermo,Villa Malfitano Whitaker - Via Dante 167,"38° 7' 25,32''","13° 20' 29,89''",38.0,sì,Nolina longifolia (Karw. ex Shult. & Shult.f.) Hemsl,Pianta mangiafumo,410.0,7.0,d) rarità botanica,no,13.341636,38.123700
100,SICILIA,12/G273/PA/19,Palermo,Palermo,Villa Malfitano Whitaker - Via Dante 167,"38° 07' 19,5''","13° 20' 30,71''",37.0,sì,Yucca gigantea Lem.,Yucca,560.0,12.0,"a) età e/o dimensioni
d) rarità botanica",no,13.341864,38.122083
101,SICILIA,13/G273/PA/19,Palermo,Palermo,Villa Giulia,"38° 06' 51,06''","13° 22' 29,84''",5.0,sì,Insieme omogeneo di Washingtonia robusta H. Wendl.,Palma messicana,"150 (med)
160 (max)","18,0 (med)
20,0 (max)","a) età e/o dimensioni
d) rarità botanica
e) architettura vegetale
g) valore storico, culturale, religioso",no,13.374956,38.114183
102,SICILIA,14/G273/PA/19,Palermo,Palermo,Giardino Inglese,"38° 07' 53,36''","13° 21' 06,56''",18.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,820.0,11.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,13.351822,38.131489
103,SICILIA,15/G273/PA/19,Palermo,Palermo,Giardino Inglese,"38° 08' 00,03''","13° 21' 03,93''",16.0,sì,Phytolacca dioica L.,Fitolacca arborea,410.0,10.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,13.351092,38.133342
104,SICILIA,17/G273/PA/19,Palermo,Palermo,Palazzo Pantelleria - Piazza Giovanni Meli,"38° 07' 10,67''","13° 21' 51,38''",9.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,1010.0,17.0,"a) età e/o dimensioni
d) rarità botanica
e) architettura vegetale
g) valore storico, culturale, religioso",no,13.364272,38.119631
105,SICILIA,18/G273/PA/19,Palermo,Palermo,Piazza Virgilio,"38° 07' 25,06''","13° 20' 55,65''",26.0,sì,Ficus virens Aiton,Fico bianco,1000.0,20.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,13.348792,38.123628
106,SICILIA,19/G273/PA/19,Palermo,Palermo,Via Claudio Monteverdi,"38° 07' 43,61''","13° 20' 28,06''",35.0,sì,Washingtonia filifera (Linden ex André) H. Wendl. ex de Bary,Palma californiana,235.0,16.0,f) pregio paesaggistico,no,13.341128,38.128781
107,SICILIA,20/G273/PA/19,Palermo,Palermo,Via Ugo La Malfa 169,"38° 09' 58,32''","13° 18' 27,66''",52.0,sì,Olea europaea L.,Olivo,730.0,15.0,"a) età e/o dimensioni
c) valore ecologico",no,13.307683,38.166200
108,SICILIA,21/G273/PA/19,Palermo,Palermo,Via Ugo La Malfa 169,"38° 9' 58,59''","13° 18' 28,28''",52.0,sì,Olea europaea L.,Olivo,830.0,15.0,"a) età e/o dimensioni
c) valore ecologico",no,13.307856,38.166275
109,SICILIA,22/G273/PA/19,Palermo,Palermo,Vivai Lo Porto - Corso Calatafimi 262,"38° 06' 19,71''","13° 20' 17,47''",51.0,sì,Nolina longifolia (Karw. ex Shult. & Shult.f.) Hemsl,Pianta mangiafumo,280.0,8.0,"a) età e/o dimensioni
d) rarità botanica",no,13.338186,38.105475
110,SICILIA,23/G273/PA/19,Palermo,Palermo,Vivai Lo Porto,"38° 6' 19,79''","13° 20' 17,37''",51.0,sì,Nolina longifolia (Karw. ex Shult. & Shult.f.) Hemsl,Pianta mangiafumo,500.0,8.0,"a) età e/o dimensioni
d) rarità botanica",no,13.338158,38.105497
